index,value0,value1
572,808.3339843750,843.2175903320
573,808.2359008789,843.1458129883
574,808.1378173828,843.0740356445
575,808.0397338867,843.0022583008
576,807.9416503906,842.9304809570
577,807.8435668945,842.8587036133
578,807.7454833984,842.7869262695
579,807.6473999023,842.7151489258
580,807.5493164062,842.6433715820
581,807.4512329102,842.5715942383
582,807.3531494141,842.4998168945
583,807.2550659180,842.4280395508
584,807.1454467773,842.3562622070
585,807.0358276367,842.2844848633
586,806.9262084961,842.2127075195
587,806.8165893555,842.1409301758
588,806.7069702148,842.0691528320
589,806.5973510742,841.9973754883
590,806.4877319336,841.9255981445
591,806.3781127930,841.8538208008
592,806.2684936523,841.7820434570
593,806.1588745117,841.7102661133
594,806.0492553711,841.6384887695
595,805.9396362305,841.5667114258
596,805.8300170898,841.4949340820
597,805.7203979492,841.4231567383
598,805.6107788086,841.3513793945
599,805.5011596680,841.2796020508
