index,value0,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20,value21
29,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,792.75,777.088501,817.088501,778.7797852,773.487854,760.2802124,800.2802124,772.0800171,777.7191162,821.3000488,841.9104004
30,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,792.5,777.088501,817.088501,778.7797852,773.3398438,759.6002197,799.6002197,771.9000244,777.7191162,821.3000488,841.9104004
31,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,792.25,777.088501,817.088501,778.7797852,773.1918335,758.9202271,798.9202271,771.7200317,777.7191162,821.3000488,841.9104004
32,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,792,777.088501,817.088501,778.7797852,773.0438232,758.2402344,798.2402344,771.5400391,777.7191162,821.3000488,841.9104004
33,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,791.75,777.088501,817.088501,778.7797852,772.895813,757.5602417,797.5602417,771.3600464,777.7191162,821.3000488,841.9104004
34,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,791.5,777.088501,817.088501,778.7797852,772.7478027,756.880249,796.880249,771.1800537,777.7191162,821.3000488,841.9104004
35,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,791.25,777.088501,817.088501,778.7797852,772.5997925,756.2002563,796.2002563,771.000061,777.7191162,821.3000488,841.9104004
36,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,791,777.088501,817.088501,778.7797852,772.4517822,755.5202637,795.5202637,770.8200684,777.7191162,821.3000488,841.9104004
37,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,790.75,777.088501,817.088501,778.7797852,772.303772,754.840271,794.840271,770.6400757,777.7191162,821.3000488,841.9104004
38,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,790.5,777.088501,817.088501,778.7797852,772.1557617,754.1602783,794.1602783,770.460083,777.7191162,821.3000488,841.9104004
39,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,790.25,777.088501,817.088501,778.7797852,772.0077515,753.4802856,793.4802856,770.2800903,777.7191162,821.3000488,841.9104004
40,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,790,777.088501,817.088501,778.7797852,771.8597412,752.800293,792.800293,770.1000977,777.7191162,821.3000488,841.9104004
41,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,789.75,777.088501,817.088501,778.7797852,771.711731,752.1203003,792.1203003,769.920105,777.7191162,821.3000488,841.9104004
42,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,789.5,777.088501,817.088501,778.7797852,771.5637207,751.4403076,791.4403076,769.7401123,777.7191162,821.3000488,841.9104004
43,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,789.25,777.088501,817.088501,778.7797852,771.4157104,750.7603149,790.7603149,769.5601196,777.7191162,821.3000488,841.9104004
44,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,789,777.088501,817.088501,778.7797852,771.2677002,750.0803223,790.0803223,769.380127,777.7191162,821.3000488,841.9104004
45,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,788.75,777.088501,817.088501,778.7797852,771.1196899,749.4003296,789.4003296,769.2001343,777.7191162,821.3000488,841.9104004
46,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,788.5,777.088501,817.088501,778.7797852,770.9716797,748.7203369,788.7203369,769.0201416,777.7191162,821.3000488,841.9104004
47,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,788.25,777.088501,817.088501,778.7797852,770.8236694,748.0403442,788.0403442,768.8401489,777.7191162,821.3000488,841.9104004
48,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,788,777.088501,817.088501,778.7797852,770.6756592,747.3603516,787.3603516,768.6601563,777.7191162,821.3000488,841.9104004
49,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,787.75,777.088501,817.088501,778.7797852,770.5276489,746.6803589,786.6803589,768.4801636,777.7191162,821.3000488,841.9104004
50,777.7020264,777.8363037,778.5319214,797.5048828,866.7675781,779.2932129,777.7020264,772.3297119,778.3199463,776.7425537,816.7425537,787.5,777.088501,817.088501,778.7797852,770.3796387,746.0003662,786.0003662,768.3001709,777.7191162,821.3000488,841.9104004
